Cut Name,alldata,Muon,Electron,2016data,2017data,2018data,DYJetsToLL_M-10to50,DYJetsToLL_M-50,EWKWMinus2Jets_WToLNu_M-50,EWKWPlus2Jets_WToLNu_M-50,EWKWminus2Jets_WToQQ_dipoleRecoilOn,EWKWplus2Jets_WToQQ_dipoleRecoilOn,EWKZ2Jets_ZToLL_M-502016,EWKZ2Jets_ZToNuNu_M-50,EWKZ2Jets_ZToQQ_dipoleRecoilOn,ST_t-channel_antitop_4f_InclusiveDecays,ST_t-channel_top_4f_InclusiveDecays,ST_tW_antitop_5f_inclusiveDecays,ST_tW_top_5f_inclusiveDecays,SSWW,TTTo2L2Nu,TTToHadronic,TTToSemiLeptonic,TTWJetsToLNu,TTWW,TTWZ,TTZToLLNuNu_M-10,TTbb_4f_TTTo2L2Nu,TTbb_4f_TTToSemiLeptonic,VBFWH_HToBB_WToLNu_M-125_dipoleRecoilOn,VHToNonbb_M125,WJetsToLNu_HT-100To200,WJetsToLNu_HT-1200To2500,WJetsToLNu_HT-200To400,WJetsToLNu_HT-2500ToInf,WJetsToLNu_HT-400To600,WJetsToLNu_HT-600To800,WJetsToLNu_HT-70To100,WJetsToLNu_HT-800To1200,WWJJToLNuLNu_EWK_noTop,WWTo1L1Nu2Q_4f,WWTo2L2Nu,WWTolnulnu,WWW_4F,WWZ_4F,WZ,WZJJ_EWK_InclusivePolarization,WZTo1L1Nu2Q_4f,WZTo1L3Nu_4f,WZTo2Q2L_mllmin4p0,WZTo3LNu,WZZ,WminusH_HToBB_WToLNu_M-125,WplusH_HToBB_WToLNu_M-125,ZH_HToBB_ZToLL_M-125,ZZJJTo4L,ZZTo2L2Nu,ZZTo2Q2L_mllmin4p0,ZZTo4L_M-1toInf,ZZZ,ggZH_HToBB_ZToLL_M-125,ttHToNonbb_M125,ttHTobb_M125,Others,TTX,WJetsToLNu,TTbar,Allbkg,SIG,
Num begin,13007,7704,5303,3327,4182,5498,26.868,365.64,39.385,75.869,0.094191,0.49213,0,0,0.25495,0,0,0,0,0,455.93,7.0312,6066,47.452,7.6359,1.0509,9.3682,0.50723,22.948,0.50784,4.6549,1.1644,2762.7,0.7009,113.71,24.9,295.87,0,2557.1,0,0,8.006,2.0698,16.351,14.705,0,0.42489,0,0,0,3.9157,2.587,0.23311,0.58951,0.050214,0.1227,0.037567,0,0.0037834,0.057159,0.019892,22.306,6.9413,564.1,118.21,5756.1,6528.9,12966,15.444,
Num Hmass,7629,4536,3093,1929,2512,3188,0,200.51,22.535,42.025,0.032556,0.27489,0,0,0.19261,0,0,0,0,0,309.6,3.4069,3478.4,26.313,4.3869,0.60268,5.3189,0.34586,13.076,0.47885,3.0459,1.1644,1470.2,0.7009,52.413,17.926,189.9,0,1525.3,0,0,4.4672,1.2152,13.421,12.288,0,0.26926,0,0,0,2.0876,2.1437,0.19706,0.49524,0.038133,0.074547,0.02102,0,0.0014167,0.049115,0.018383,12.515,4.8342,307.04,67.392,3257.5,3791.4,7422.2,14.655,
Num Wmass,5844,3485,2359,1472,1958,2414,0,152.73,18.312,34.539,0,0.27489,0,0,0.19261,0,0,0,0,0,221.4,1.763,2480.2,16.887,3.0097,0.40988,3.3727,0.24744,8.7391,0.37752,2.8707,0,1017.3,0.7009,31.111,14.972,161.49,0,1209.9,0,0,3.4384,0.74416,11.168,10.423,0,0.21204,0,0,0,1.8737,1.7601,0.15261,0.38795,0.024209,0.057305,0.01792,0,0.0014167,0.041198,0.014166,8.1716,2.7894,239.62,43.627,2435.5,2703.4,5422.1,14.283,
Num Hbb09,5844,3485,2359,1472,1958,2414,0,152.73,18.312,34.539,0,0.27489,0,0,0.19261,0,0,0,0,0,221.4,1.763,2480.2,16.887,3.0097,0.40988,3.3727,0.24744,8.7391,0.37752,2.8707,0,1017.3,0.7009,31.111,14.972,161.49,0,1209.9,0,0,3.4384,0.74416,11.168,10.423,0,0.21204,0,0,0,1.8737,1.7601,0.15261,0.38795,0.024209,0.057305,0.01792,0,0.0014167,0.041198,0.014166,8.1716,2.7894,239.62,43.627,2435.5,2703.4,5422.1,14.283,
Num Wjet055,5844,3485,2359,1472,1958,2414,0,152.73,18.312,34.539,0,0.27489,0,0,0.19261,0,0,0,0,0,221.4,1.763,2480.2,16.887,3.0097,0.40988,3.3727,0.24744,8.7391,0.37752,2.8707,0,1017.3,0.7009,31.111,14.972,161.49,0,1209.9,0,0,3.4384,0.74416,11.168,10.423,0,0.21204,0,0,0,1.8737,1.7601,0.15261,0.38795,0.024209,0.057305,0.01792,0,0.0014167,0.041198,0.014166,8.1716,2.7894,239.62,43.627,2435.5,2703.4,5422.1,14.283,
Num Mlb230,3400,2053,1347,876,1133,1391,0,106.8,15.701,30.127,0,0.27489,0,0,0.19261,0,0,0,0,0,106.21,0.75343,1052.3,10.882,1.5654,0.20895,1.7419,0.10231,3.0838,0.33063,2.1679,0,808.58,0.35629,24.988,12.457,134.14,0,964.72,0,0,2.6189,0.64443,8.7292,7.7472,0,0.15484,0,0,0,1.1261,1.3491,0.11961,0.3103,0.015488,0.035132,0.012713,0,0.0014167,0.028595,0.0093342,3.3674,0.9829,178.5,21.934,1945.2,1159.3,3305,12.767,
Num STH3000,4,3,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20032,0,0.35249,0.019217,0.0023213,0,0.0015737,0,0,0.0016421,0.21743,0,1.6269,0,3.6036,0,0,0,0,0,0,0,0.020507,0.043172,0.020927,0,0.0011696,0,0,0,0.039581,0.0068297,0.00040097,0.0018761,0,0,0.00058241,0,0,0.00016448,0,0,0,0.35428,0.023112,5.2305,0.55281,6.1607,1.2722,
Num STL3000,3396,2050,1346,875,1133,1388,0,106.8,15.701,30.127,0,0.27489,0,0,0.19261,0,0,0,0,0,106,0.75343,1052,10.862,1.5631,0.20895,1.7404,0.10231,3.0838,0.32898,1.9504,0,806.96,0.35629,21.385,12.457,134.14,0,964.72,0,0,2.6189,0.62393,8.686,7.7263,0,0.15367,0,0,0,1.0865,1.3422,0.11921,0.30843,0.015488,0.035132,0.012131,0,0.0014167,0.028431,0.0093342,3.3674,0.9829,178.14,21.911,1940,1158.7,3298.8,11.494,
Num ST3000Score09V07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Num ST3000Score095V07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
